Reference, Quantity, Value, Footprint, Datasheet, Part Number, Manufacturer, Package, Supplier, Order Code, Alt. Supplier, Alt. Order Code, Note
BT1 ,1,3V LiMnO₂,jakub:ML2016,ML2016.pdf,ML2016 T6,Maxell,ø20mm,Farnell,3031962,N/A,N/A,Horizontal lithium manganese dioxide rechargeable battery
C1 C15 C8 ,3,1u/50V,Capacitors_SMD:C_0805,,GRM219R61H105KA73D,Murata,0805,Farnell,1845750,Mouser,81-GRM219R61H105KA3D,1μF/50V X5R 0805 ceramic capacitor
C10 C11 C19 ,3,47u/16V,Capacitors_SMD:C_1210,,GRM32ER61C476ME15L,Murata,1210,Farnell,1735538,Mouser,81-GRM32ER61C476ME15,47μF/16V X5R 1210 ceramic capacitor
C12 C13 ,2,10u/10V/0.15Ω<ESR<0.5Ω,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow,,T55A106M010C0200,Vishay,case A,Farnell,2455906,Mouser,74-T55A106M010C0200,10μF/10V/0.2Ω ESR case A tantalum capacitor
C16 ,1,8n2,Capacitors_SMD:C_0805,,MC0805B822K500CT,Multicomp,0805,Farnell,1759245,Mouser,581-08055C822K,8.2nF/50V X7R 0805 ceramic capacitor
C18 ,1,4p7,Capacitors_SMD:C_0805,,MC0805N4R7C201CT,Multicomp,0805,Farnell,1855762,Mouser,603-CC805CRNPO9BN4R7,4.7pF/200V C0G(NP0) 0805 ceramic capacitor
C17 C2 C9 ,3,100n,Capacitors_SMD:C_0805,,MC0805B104K250CT,Multicomp,0805,Farnell,1759166,Mouser,710-885012207098,100nF/50V X7R 0805 ceramic capacitor
C3 ,1,10n,Capacitors_SMD:C_0805,,MCU0805R103KCT,Multicomp,0805,Farnell,9406352,Mouser,710-885012207092,10nF/50V X7R 0805 ceramic capacitor
C4 ,1,4u7/25V,Capacitors_SMD:C_0805,,GRM21BR61E475MA12L,Murata,0805,Farnell,2362111,Mouser,81-GRM21BR61E475MA2L,4.7μF/25V X5R 0805 ceramic capacitor
C14 C5 ,2,22u/25V,Capacitors_SMD:C_1210,,GRM32ER61E226ME15L,Murata,1210,Farnell,1735539,Mouser,81-GRM32ER61E226ME5L,22μF/25V X5R 1210 ceramic capacitor
C6 ,1,680p,Capacitors_SMD:C_0805,,MC0805B681K500CT,Multicomp,0805,Farnell,1759222,Mouser,710-885012207059,680pF/50V X7R 0805 ceramic capacitor
C7 ,1,1p5,Capacitors_SMD:C_0805,,MC0805N1R5C500CT,Multicomp,0805,Farnell,1759180,Mouser,77-VJ0805A1R5BXAPBC,1.5pF/50V C0G(NP0) 0805 ceramic capacitor
D1 D2 D3 ,3,1N4148,Diodes_SMD:SOD-323,,1N4148WS,Multicomp,SOD-323,Farnell,1466524,Mouser,512-1N4148WS,Small signal SOD-323 diode
D4 D5 D6 D7 ,4,LED,LEDs:LED-1206,,HSMY-C150,Avago,1206,Farnell,2497382,Mouser,630-HSMY-C150,Yellow 1206 LED
F1 ,1,F5A,Fuse_Holders_and_Fuses:Fuse_SMD1206_HandSoldering,,MC12CF 005,Multicomp,1206,Farnell,1841033,Mouser,530-C1Q5,Fast blow 5 A fuse
L1 ,1,3.3uH,jakub:IHLP-4040DZ-01,,IHLP4040DZER3R3M01,Vishay Dale,10.3mm×10.3mm,Farnell,1547037,Mouser,70-IHLP4040DZER3R3M0,3.3μH 10A low profile high current IHLP inductor
L5 ,1,2.2uH,jakub:IHLP-3232CZ-11,,IHLP3232DZER2R2M11,Vishay Dale,8.2mm×8.2mm,Farnell,2056578,Mouser,70-IHLP3232DZER2R2M1,2.2μH 14.5A low profile high current IHLP inductor
P1 ,1,DC jack,Connect:JACK_ALIM,,FC681465,Cliff Electronic,DC jack R/A,Farnell,1854514,Mouser,502-RAPC722X,2.1/2.5mm DC jack R/A
P2 ,1,6-way Micro-MaTch,jakub:7-188275-6,,7-188275-6,TE Connectivity,Micro-MaTch SMD,Farnell,1056234,Mouser,571-71882756,6-way SMD Micro-MaTch connector
P3 ,1,1x14 socket strip,jakub:ESQ-114-33-S-G,,ESQ-114-33-G-S,Samtec,SIL-14,Farnell,1930609,Samtec,ESQ-114-33-G-S,1x14 ESQ series elevated socket strip
P4 ,1,2x2 socket strip,jakub:ESQ-102-33-D-G,,ESQ-102-33-G-D,Samtec,DIL-4,Farnell,1928738,Samtec,ESQ-102-33-G-D,2x2 ESQ series elevated socket strip
P6 ,1,1x3 header strip,Pin_Headers:Pin_Header_Straight_1x03,,M20-9990346,Harwin,SIL-3,Farnell,1022249,Mouser,855-M20-9990346,2-way jumper switch
PP1 ,1,+12V,Connect:PINTST,
PP2 ,1,+5V,Connect:PINTST,
PP3 ,1,+3.3V,Connect:PINTST,
PP4 ,1,+2.8V,Connect:PINTST,
Q1 Q3 ,2,SI2369,jakub:SOT23GDS,,SI2369DS-T1-GE3,Vishay Siliconix,SOT-23,Farnell,2400360,Mouser,78-SI2369DS-T1-GE3,P-channel SOT-23 MOSFET
Q2 ,1,TSM2314,jakub:SOT23GDS,,TSM2314CX,Taiwan Semiconductor,SOT-23,Farnell,1864589,Mouser,781-SI2314EDS-E3,N-channel SOT-23 MOSFET
Q4 ,1,IRF8721,jakub:SO8_FDS6298,,IRF8721PBF,International Rectifier,SOIC-8,Farnell,1551902,Mouser,942-IRF8721PBF,N-channel SOIC-8 MOSFET
