Reference, Quantity, Value, Footprint, Datasheet, Part Number, Manufacturer, Order Code, Field6
BT1 ,1,3V LiMnO2,jakub:ML2016,ML2016.pdf,ML2016 T6,Maxell,3031962,
C1 C15 C8 ,3,1u,Capacitors_SMD:C_0805,,GRM219R61H105KA73D,Murata,1845750,
C10 C11 C19 ,3,47u/6.3V,Capacitors_SMD:C_1210,,GRM32ER60J476ME20L,Murata,9527788,
C12 C13 ,2,10u/10V/0.15Ω<ESR<0.5Ω,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow,,T55A106M010C0200,Vishay,2455906,
C16 ,1,8n2,Capacitors_SMD:C_0805,,MCCA000367,Multicomp,1759245,
C18 ,1,4p7,Capacitors_SMD:C_0805,,MCMT18N4R7C100CT,Multicomp,1856076,
C17 C2 C9 ,3,100n,Capacitors_SMD:C_0805,,MC0805B104K250CT,Multicomp,1759166,
C3 ,1,10n,Capacitors_SMD:C_0805,,MCU0805R103KCT,Multicomp,9406352,
C4 ,1,10u/25V,Capacitors_SMD:C_0805,,GRM219R61E106KA12D,Murata,2426961,
C14 C5 ,2,22u/25V,Capacitors_SMD:C_1210,,GRM32ER61E226KE15L,Murata,1828821,
C6 ,1,680p,Capacitors_SMD:C_0805,,MCCA001064,Multicomp,1856232,
C7 ,1,1p5,Capacitors_SMD:C_0805,,MCCA000309,Multicomp,1759180,
D1 D2 ,2,1N4148,Diodes_SMD:SOD-323,,1N4148WS,Multicomp,,1466524
D3 ,1,BAR43S,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,,BAR43SFILM,ST Microelectronics,9801391,
D4 D5 D6 D7 ,4,LED,LEDs:LED-1206,,HSMY-C150,Avago,8554773,
F1 ,1,F5A,Fuse_Holders_and_Fuses:Fuse_SMD1206_HandSoldering,,MC12CF 005,Multicomp,1841033,
L1 ,1,3.3uH,jakub:IHLP-4040DZ-01,,IHLP4040DZER3R3M01,Vishay Dale,1547037,
L5 ,1,2.2uH,jakub:IHLP-3232CZ-11,,IHLP3232DZER2R2M11,Vishay Dale,2056578,
P1 ,1,BARREL_JACK,Connect:JACK_ALIM,,FC681465,Cliff Electronic,1854514,
P2 ,1,CONN_02X03,jakub:7-188275-6,,7-188275-6,TE Connectivity,1056234,
P3 ,1,Socket_1x14,jakub:ESQ-114-33-S-G,,ESQ-114-33-G-S,Samtec,1930609,
P4 ,1,Socket_2x2,jakub:ESQ-102-33-D-G,,ESQ-102-33-G-D,Samtec,1928738,
P6 ,1,JUMPER3,Pin_Headers:Pin_Header_Straight_1x03,,M20-9990346,Harwin,1022249,
PP1 ,1,+12V,Connect:PINTST,
PP2 ,1,+5V,Connect:PINTST,
PP3 ,1,+3.3V,Connect:PINTST,
PP4 ,1,+2.8V,Connect:PINTST,
Q1 Q3 ,2,SI2369,jakub:SOT23GDS,,SI2369DS-T1-GE3,Vishay Siliconix,2400360,
Q2 ,1,TSM2314,jakub:SOT23GDS,,TSM2314CX,Taiwan Semiconductor,1864589,
Q4 ,1,IRF8721,jakub:SO8_FDS6298,,IRF8721PBF,International Rectifier,1551902,
R1 R10 R16 ,3,10k,Resistors_SMD:R_0805,,MCMR08X1002FTL,Multicomp,2073607,
R12 ,1,470R,Resistors_SMD:R_0805,,MCSR08X2703FTL,Multicomp,2074426,
R11 R13 ,2,82k,Resistors_SMD:R_0805,,MC01W0805182K,Multicomp,9333592,
R14 ,1,22k,Resistors_SMD:R_0805,,MCMR08X2202FTL,Multicomp,2073691,
R17 ,1,12k,Resistors_SMD:R_0805,,MC01W0805112K,Multicomp,9332502,
R18 ,1,33k,Resistors_SMD:R_0805,,MC01W0805133K,Multicomp,9333053,
R15 R2 ,2,3k,Resistors_SMD:R_0805,,MC01W080513K,Multicomp,9332995,
R3 ,1,1k5,Resistors_SMD:R_0805,,MCWR08X1501FTL,Multicomp,2447592,
R4 ,1,1k,Resistors_SMD:R_0805,,MCWR08X1001FTL,Multicomp,2447587,
R5 R6 R7 R9 ,4,100k,Resistors_SMD:R_0805,,MCWR08X1003FTL,Multicomp,2447551,
R8 ,1,270k,Resistors_SMD:R_0805,,MCSR08X2703FTL,Multicomp,2074426,
SW1 ,1,SW_PUSH_RA,jakub:tactileSwitchRA,,MCDTSA6-5N,Multicomp,9471804,
U1 ,1,AP1117E33,SMD_Packages:SOT-223,,AP1117E33G-13,Diodes,1825291,
U2 ,1,ADP2381,jakub:SSOP-16(EP),,ADP2381AREZ,Analog Devices,2112682,
U3 ,1,TPS54428,jakub:PDSO8,,TPS54428DDA,Texas Instruments,2078519,
